#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: flowers.png (952 x 508)
# $TexturePacker:SmartUpdate:729cd007511135809f38be6c9840ff10:cbce4ce3f8696c14eebfc391473cda25:e5b38bb9a26567b744ec8ee2f6a0215a$
#

flowers-0;0;127;352;127;126;206;190;0.5984251968503937;0.6666666666666666
flowers-1;1;256;355;132;129;206;190;0.5426356589147286;0.6212121212121212
flowers-2;0;393;231;124;124;206;190;0.4838709677419355;0.5806451612903226
flowers-3;1;693;234;125;124;206;190;0.4112903225806452;0.584
flowers-4;0;390;358;131;131;206;190;0.4122137404580153;0.6259541984732825
flowers-5;1;1;103;119;114;206;190;0.49122807017543857;0.6470588235294118
flowers-6;1;820;239;125;124;206;190;0.6451612903225806;0.584
flowers-7;0;711;115;116;117;206;190;0.5689655172413793;0.5811965811965812
flowers-8;0;1;347;124;124;206;190;0.4838709677419355;0.5967741935483871
flowers-9;1;661;360;145;138;206;190;0.47101449275362317;0.6413793103448275
flowers-10;0;137;226;128;124;206;190;0.3984375;0.6048387096774194
flowers-11;0;267;229;124;124;206;190;0.4032258064516129;0.6048387096774194
flowers-12;1;139;1;107;105;206;190;0.580952380952381;0.6355140186915887
flowers-13;0;829;1;115;114;206;190;0.5304347826086957;0.5964912280701754
flowers-14;0;248;1;110;106;206;190;0.4909090909090909;0.6320754716981132
flowers-15;0;523;358;136;136;206;190;0.4264705882352941;0.5220588235294118
flowers-16;0;357;111;116;116;206;190;0.3793103448275862;0.5344827586206896
flowers-17;0;714;1;113;112;206;190;0.35398230088495575;0.5178571428571429
flowers-18;0;829;117;121;120;206;190;0.5785123966942148;0.6333333333333333
flowers-19;0;1;1;136;100;206;190;0.5;0.6
flowers-20;0;475;113;116;116;206;190;0.47413793103448276;0.6206896551724138
flowers-21;0;122;108;115;115;206;190;0.4434782608695652;0.6086956521739131
flowers-22;1;239;109;116;115;206;190;0.3826086956521739;0.603448275862069
flowers-23;0;808;365;143;141;206;190;0.3776223776223776;0.5957446808510638
flowers-24;1;360;1;122;108;206;190;0.6481481481481481;0.5655737704918032
flowers-25;1;597;1;115;111;206;190;0.5315315315315315;0.6
flowers-26;1;484;1;111;110;206;190;0.44545454545454544;0.5945945945945946
flowers-27;0;593;114;116;116;206;190;0.45689655172413796;0.6120689655172413
flowers-28;0;519;232;172;124;206;190;0.46511627906976744;0.532258064516129
flowers-29;0;1;225;134;120;206;190;0.34328358208955223;0.5583333333333333
